control_id,control_domain,reference_expectation,reference_ids,public_evidence,source_ids,observability_status,assessment_conclusion
O-001,Disaster recovery,"Maintain, test, and review a disaster recovery plan for critical applications and infrastructure under POJK Article 18 and NIST recovery guidance.",S-005;S-009,"Public statements describe staged restoration, but no disaster-recovery plan, test result, RTO, or RPO is published in the reviewed sources.",S-001;S-002,Not publicly observable,No conclusion on control effectiveness
O-002,Cyber risk identification,"Identify cyber assets, threats, and vulnerabilities under POJK Article 21 and SEOJK Sections II-III.",S-005;S-006,"The public incident disclosures do not include an asset, threat, vulnerability, or dependency assessment.",S-001;S-003,Not publicly observable,No conclusion on control effectiveness
O-003,Cyber maturity assessment,"Perform and report cyber-risk and cybersecurity-maturity self-assessments under POJK Article 22 and SEOJK Sections II-IV.",S-005;S-006,"No assessment result or maturity score is included in the reviewed public incident sources.",S-002;S-003,Not publicly observable,No conclusion on control effectiveness
O-004,Security testing,"Conduct periodic vulnerability-based and annual scenario-based cybersecurity testing under POJK Articles 23-25 and SEOJK Sections V-VI.",S-005;S-006,"No vulnerability-test or scenario-test evidence is published in the reviewed sources.",S-003,Not publicly observable,No conclusion on control effectiveness
O-005,Detection and containment,"Detect cyber incidents and perform containment and recovery actions under POJK Article 21 and NIST incident-response guidance.",S-005;S-008,"BSI disclosed cyberattack indications and a temporary switch-off of several channels, but detection timestamps, telemetry, and containment criteria are not public.",S-001,Partial public evidence,Action is visible but effectiveness is not assessable
O-006,Forensic investigation and coordination,"Investigate incidents, preserve evidence, and coordinate with regulators and relevant parties under SEOJK and NIST guidance.",S-006;S-008,"BSI disclosed audit and digital-forensic work; OJK confirmed ongoing coordination and requested acceleration of the forensic audit.",S-001;S-002,Observed public action,Action is evidenced but audit scope and outcome are not public
O-007,Service recovery,"Restore impaired services using prioritized and tested recovery procedures under POJK Article 18 and NIST recovery guidance.",S-005;S-009,"BSI and OJK published staged recovery statements between 9 and 13 May; no independently measured service-level data or recovery-test evidence is public.",S-001;S-002,Partial public evidence,Recovery activity is visible but recovery capability is not fully assessable
O-008,Personal-data protection,"Protect personal data and perform impact assessment under POJK Articles 43-45 and Indonesia's PDP Law.",S-005;S-007,"BSI stated customer data were safe while Reuters reported an unverified attacker claim; no public data-impact assessment is included in the reviewed primary sources.",S-001;S-003;S-004,Not publicly observable,Do not conclude breach scope or privacy-control effectiveness
O-009,Stakeholder communication,"Coordinate accurate incident and recovery communication under OJK supervisory expectations and NIST guidance.",S-002;S-008;S-009,"BSI issued recovery statements and an apology; OJK issued a public update and referred to customer complaints and communication.",S-001;S-002,Observed public action,Communication occurred; completeness and timeliness are not independently scored
O-010,Post-incident improvement,"Use forensic findings and lessons learned to improve systems, controls, and recovery planning under POJK Articles 25-26 and NIST guidance.",S-005;S-008;S-009,"The year-end filing states that corrective actions were taken and cybersecurity enhanced, without publishing implementation evidence or closure testing.",S-003,Partial public evidence,Improvement is stated but design and operating effectiveness remain unverified
