claim_id,claim_category,claim_text,classification,confidence,source_ids,analyst_treatment
C-001,Service availability,"Bank operations were disrupted on 8 May 2023.",Confirmed public fact,High,S-001;S-003,Use as established incident fact
C-002,Service recovery,"Branch and ATM access returned in stages by 9 May according to BSI.",Issuer statement,Medium,S-001,Attribute to BSI and do not treat as independently measured availability
C-003,Service recovery,"BSI reported branch, ATM, and mobile-banking services as normal on 11 May.",Issuer statement,Medium,S-001,Attribute to BSI; retain OJK's 13 May progressive-normalization wording as separate evidence
C-004,Incident identification,"BSI reported indications of a cyberattack and temporary switch-off of several channels.",Issuer statement with caveat,High,S-001,Accept the disclosed indication but do not infer attack vector or root cause
C-005,Investigation,"A forensic audit was in progress and OJK requested that it be accelerated.",Confirmed regulator statement,High,S-002,Use as evidence of an investigation action only; outcome is not public in the reviewed sources
C-006,Regulatory coordination,"OJK's IT supervisory and examination team coordinated with BSI and evaluated the disruption source.",Confirmed regulator statement,High,S-002,Use as evidence of regulator engagement
C-007,Post-incident action,"BSI's year-end filing states that corrective action was taken and cybersecurity was enhanced.",Management statement in audited filing,Medium,S-003,Do not infer which controls changed or whether they operated effectively
C-008,Financial impact,"Management stated that the incident had no material impact on the bank's financial performance.",Management statement in audited filing,Medium,S-003,Present as management's materiality view rather than independent impact measurement
C-009,Alleged data exposure,"Reuters reported LockBit's claim that customer account details had been published; BSI did not confirm the alleged leak in that report.",Reported third-party claim,Medium,S-004,Keep clearly attributed and exclude from confirmed-fact counts
C-010,Root cause,"The reviewed public sources do not disclose a final forensic root cause or confirmed initial-access vector.",Not publicly observable,Not assessable,S-001;S-002;S-003;S-004,Do not speculate about phishing vulnerabilities malware path or staff action
C-011,Data population,"The reviewed primary sources do not publish a verified count or complete inventory of affected personal-data records.",Not publicly observable,Not assessable,S-001;S-002;S-003,Do not present attacker-supplied numbers as verified
C-012,Control effectiveness,"The reviewed public sources do not contain control test workpapers audit results or evidence sufficient to conclude that specific internal controls were effective or ineffective.",Not publicly observable,Not assessable,S-001;S-002;S-003,Assess public observability only - not control effectiveness
