risk_id,asset_id,risk_area,risk_statement,threat_event,vulnerability,business_impact,likelihood_score,impact_score,inherent_risk_score,existing_control_id,control_effectiveness,residual_risk_score,risk_owner,risk_response,priority,source_reference
R-001,A-005; A-009,Access Management,Unauthorized staff may access sensitive academic records due to lack of periodic user access review and role recertification.,Excessive or outdated access privileges are misused or remain active after role changes.,Access rights are granted through the admin portal but periodic review evidence is not consistently documented.,"Personal data exposure, unauthorized record changes, compliance issues, and loss of trust in academic service operations.",4,5,20,C-001,Partial,15,IT Manager / System Owner,Mitigate,High,"NIST CSF PR.AA; NIST SP 800-53 AC, IA; CIS Controls Account Management; Indonesia PDP Law"
R-002,A-001; A-006,Data Privacy,Student personal data may be exposed due to excessive admin access and insufficient restriction over sensitive data visibility.,An authorized user views or exports personal data beyond their job responsibility.,Role boundaries and data access restrictions are not fully supported by documented review and approval evidence.,"Potential personal data protection violation, reputational damage, student complaints, and management escalation.",3,5,15,C-002,Partial,12,Data Owner / Academic Services,Mitigate,High,"NIST CSF GV.OC, PR.DS, PR.AA; NIST SP 800-53 AC, PT; ISO 27001 confidentiality concept; Indonesia PDP Law"
R-003,A-008; A-006,Backup & Recovery,Critical academic services may not recover within expected time if backup restoration is not tested and documented.,"System outage, data corruption, or operational disruption requires restoration from backup.","Backup activity exists, but restore test results and sign-off evidence are unavailable or inconsistent.","Extended service downtime, lost operational records, delayed academic services, and weakened recovery confidence.",3,5,15,C-004,Weak,12,IT Operations Lead,Mitigate,High,"NIST CSF RC.RP, PR.DS; NIST SP 800-53 CP; ISO 27001 availability concept; CIS Data Recovery"
R-004,A-010; A-002; A-005,Change Management,"System changes may disrupt academic services if approval, testing, and UAT evidence are not consistently documented before release.","A configuration or application change introduces errors into registration, admin, or reporting workflows.",Change requests may be approved informally through chat or email without standardized UAT evidence and rollback notes.,"Service disruption, incorrect processing, user complaints, emergency fixes, and weak audit trail over changes.",4,4,16,C-005,Partial,12,System Owner / Academic Operations,Mitigate,High,"NIST CSF PR.PS; NIST SP 800-53 CM, SA; COBIT change management concept; CIS Secure Configuration"
R-005,A-011,Incident Handling,Security or service incidents may not be escalated consistently due to the absence of a formal severity matrix and escalation SLA.,"A user reports system access, service outage, or data-related issue that requires coordinated handling.","Incident tickets are logged, but severity classification, response timeline, and escalation ownership are not standardized.","Delayed response, inconsistent communication, unresolved incidents, and limited incident trend visibility.",3,4,12,C-006,Partial,9,Helpdesk Lead / IT Support,Mitigate,Medium,"NIST CSF RS.MA, RS.CO; NIST SP 800-53 IR; CIS Incident Response Management"
R-006,A-005; A-006,Logging & Monitoring,Suspicious admin activity may not be detected promptly because privileged activity logs are not reviewed on a defined schedule.,"An admin account performs unusual data changes, failed login attempts, or excessive record access.","System logs exist, but there is no documented monthly log review process, reviewer, or exception handling evidence.","Unauthorized activity remains undetected, investigation becomes difficult, and accountability over privileged access is weakened.",3,4,12,C-003,Weak,10,IT Security / System Administrator,Mitigate,Medium,NIST CSF DE.CM; NIST SP 800-53 AU; CIS Audit Log Management
R-007,A-012,Vendor Dependency,Service restoration or issue resolution may be delayed if vendor support obligations and escalation channels are not reviewed periodically.,A third-party system or SaaS support dependency affects academic service availability or issue resolution.,"Vendor contact, SLA, and escalation expectations are known informally but not reviewed or tracked as GRC evidence.","Longer downtime, unclear accountability, delayed incident resolution, and weak third-party oversight.",3,4,12,C-007,Partial,9,Vendor Manager / IT Manager,Mitigate,Medium,NIST CSF GV.SC; NIST SP 800-53 SR; COBIT supplier/vendor governance concept
R-008,A-007; A-006,Data Quality,Management decisions may rely on inaccurate academic reports if reporting data validation and reconciliation are not performed consistently.,"Dashboard metrics show incomplete, duplicated, outdated, or inconsistent academic service data.","Reporting dashboard uses operational data, but validation rules and reconciliation checks are not fully documented.","Incorrect management reporting, poor operational decisions, rework, and reduced trust in analytics outputs.",4,3,12,C-010,Partial,8,BI / Reporting Owner,Mitigate,Medium,NIST CSF ID.IM; NIST SP 800-53 SI; COBIT information quality/governance concept
R-009,A-002; A-006,Business Continuity,Course registration may become unavailable during peak periods if continuity planning and capacity readiness are not tested.,High user traffic or system disruption occurs during course registration period.,"Critical registration period is known, but continuity readiness, fallback process, and recovery communication are not tested regularly.","Student registration delay, operational backlog, user dissatisfaction, and emergency support pressure.",3,5,15,C-011,Weak,12,Academic Operations / IT Operations,Mitigate,High,"NIST CSF RC.RP, GV.RM; NIST SP 800-53 CP; ISO 27001 availability concept; COBIT continuity concept"
R-010,A-009; A-005,User Lifecycle Management,"Inactive, transferred, or resigned user accounts may remain active due to incomplete offboarding and access revocation tracking.",Former or transferred staff account retains access to admin functions after role change or termination.,Account deactivation depends on manual notification and is not fully reconciled against HR or role-change records.,"Unauthorized access, accountability gaps, personal data exposure, and compliance concerns.",4,4,16,C-002,Partial,12,IT Admin / HR Coordinator,Mitigate,High,"NIST CSF PR.AA; NIST SP 800-53 AC, IA; CIS Account Management; Indonesia PDP Law"
R-011,A-003; A-006,Data Integrity,Payment status information may be inaccurate if data updates are not reconciled and exception cases are not reviewed.,Payment status shown to academic staff differs from underlying finance or eligibility record.,"Status data is visible in the module, but reconciliation and exception review are not consistently documented.","Incorrect service eligibility decisions, student complaints, rework, and weakened data trust.",3,4,12,C-010,Weak,9,Finance Data Owner / Academic Services,Mitigate,Medium,"NIST CSF PR.DS, ID.IM; NIST SP 800-53 SI; ISO 27001 integrity concept"
R-012,A-004,Workflow Evidence,Document requests may be closed without sufficient processing evidence or approval trail.,"A document request is marked complete without evidence of review, approval, or fulfillment.","Request workflow exists, but completion evidence and approval records are not standardized.","Disputes over request completion, inconsistent service quality, and weak audit trail for service processing.",3,3,9,C-012,Partial,6,Academic Services Lead,Mitigate,Medium,"NIST CSF GV.OV, PR.PS; NIST SP 800-53 PL, CM; COBIT governance and documentation concept"
R-013,A-001; A-006,Data Retention,Personal data may be retained longer than necessary if retention and deletion review procedures are not defined.,"Old student-related records remain stored without business need, retention rationale, or deletion review.",Data retention practices are assumed but not documented or periodically reviewed.,"Privacy compliance exposure, unnecessary data storage risk, and increased impact if data is exposed.",3,4,12,C-008,Missing,12,Data Owner / Compliance Coordinator,Mitigate,High,"NIST CSF PR.DS, GV.PO; NIST SP 800-53 PT; ISO 27001 confidentiality concept; Indonesia PDP Law"
R-014,A-005; A-009,Security Awareness,Staff may mishandle credentials or sensitive information due to limited security and privacy awareness training.,"A staff member shares credentials, mishandles student data, or falls for social engineering.","Security awareness activities are not consistently scheduled, tracked, or evidenced.","Credential compromise, data exposure, unauthorized access, and increased operational security risk.",3,4,12,C-009,Weak,10,IT Security / HR Training Coordinator,Mitigate,Medium,"NIST CSF PR.AT, GV.RR; NIST SP 800-53 AT; CIS Security Awareness and Skills Training"
R-015,A-006; A-007; A-012,Vulnerability Management,Known vulnerabilities in supporting systems or third-party components may remain unresolved if vulnerability tracking is not maintained.,"A known vulnerability affects database, reporting, or vendor-supported components.",No centralized vulnerability backlog or documented remediation tracking is maintained for in-scope assets.,"Increased exposure to exploitation, service disruption, data compromise, and delayed remediation accountability.",3,4,12,C-013,Missing,12,IT Security / Vendor Manager,Mitigate,High,"NIST CSF ID.RA, PR.PS; NIST SP 800-53 RA, SI; CIS Continuous Vulnerability Management; optional NVD reference"
